Tweets,Positive,Negative,Positive %,Negative %,Netral %
text,[],[],0.0,0.0,1
umby update hes much more alert today hes begun his 4 new daily meds hes a bit less yellow and ate his whole dinner portion yesterday,[],[],0.0,0.0,26
very wholesome thank you umby,"['wholesome', 'thank']",[],40.0,0.0,3
rt calabria lombardia piemonte e valle d’aosta venerd alle 6 di mattina httpstcotjwcgtt2rf,[],[],0.0,0.0,13
umby off to horny jail for you,[],[],0.0,0.0,7
rt bernie sanders a week or so ago on jimmy fallon predicting the very thing that is happening right now pretty much down to the…,"['right', 'pretty']",[],8.0,0.0,23
no problem,[],['problem'],0.0,50.0,1
yep applied health is super broad lol,['super'],[],14.285714285714285,0.0,6
pumby thank you so much 💕,['thank'],[],16.666666666666664,0.0,5
pumby policy making thats a good one,['good'],[],14.285714285714285,0.0,6
figured id get you the full definition essentially its general health studies,[],[],0.0,0.0,12
applied health science focuses on prevention it involves promoting wellness in families organizations httpstcoo0r3qk4u78,[],[],0.0,0.0,14
pumby got you i understand now,[],[],0.0,0.0,6
that or wasnt supposed be there lol but most doctor have different specialty areas also,[],[],0.0,0.0,15
pumby what is applied healthanatomical,[],[],0.0,0.0,5
doctors are for applied health anything anotimical health or specialty nutritionist or dietician study n httpstcoksxnigktch,[],[],0.0,0.0,16
pumby so what does a doctor do,[],[],0.0,0.0,7
hahaha nah bro when i worked in the hospital in sa they had a whole ass section purely for nutrionist th httpstcovpibecmjwm,['worked'],[],4.545454545454546,0.0,21
pumby i always thought that they did 😂,[],[],0.0,0.0,8
gguy uh httpstco7eqbfnemoa,[],[],0.0,0.0,3
dont have to thats why they have nutritionist lol,[],[],0.0,0.0,9
pumby there’s more to it then me moving just cause,[],[],0.0,0.0,10
jeydon just gotta move here fuck iowa,[],['fuck'],0.0,14.285714285714285,6
km di kiyau umby kah,[],[],0.0,0.0,5
lrt im sorry normie followers but aaa that umby tumby,[],['sorry'],0.0,10.0,9
imagine not being in umbys friendlist cbm,[],[],0.0,0.0,7
feel free dms are always open,['free'],[],16.666666666666664,0.0,5
preorder now protective umbrella httpstcosyromcuvln when you purchase this sunshineyellow umbrella httpstcooopeszge80,['protective'],[],8.333333333333332,0.0,11
i love this account thank you for all you do,"['love', 'thank']",[],20.0,0.0,8
rt unison square garden sugar song to bitter step httpstcoghmagt6f1n,[],['bitter'],0.0,10.0,9
green and orange,[],[],0.0,0.0,3
i dont think crobat in vgc is going to be the ultimate game changer but i feel like its utility getting slept on,['like'],[],4.3478260869565215,0.0,22
rt i know we said wed be back on the 7th but were gonna take one more week off and we will be back in full swing on the 14th…,[],[],0.0,0.0,30
rt hate to be this guy again but i have to postpone umby took a turn for the worse and the grocery trip ran late i dont have…,[],"['hate', 'worse']",0.0,7.142857142857142,26
hate to be this guy again but i have to postpone umby took a turn for the worse and the grocery trip ran late i d httpstcourg899o4ji,[],"['hate', 'worse', 'd']",0.0,11.11111111111111,24
were on the same plane washed it down with a shot of whiskey,[],[],0.0,0.0,13
im not even having any of these,[],[],0.0,0.0,7
hell yeah umby lets go,['yeah'],['hell'],20.0,20.0,3
umby lol jeez,[],[],0.0,0.0,3
umby reading this makes me wanna go over to your neighborhood and get rowdy lol,[],[],0.0,0.0,15
spazzy its useless but really neat nonetheless something that would have been added 100 if link was an ultimate newcomers,['neat'],['useless'],5.0,5.0,18
we have no reason to think people will get rowdy buuuuuuuuuuuuuuuuuuuut,[],[],0.0,0.0,11
umby that letter is kind of infuriating to read,[],['infuriating'],0.0,11.11111111111111,8
rt rt follow and eu for your chance to win wallachia reign of dracula and a nintendo switch tag a…,['win'],[],5.0,0.0,19
umby pumby,[],[],0.0,0.0,2
rt c carenza di bombole di ossigeno questo capita perch spesso non vengono restituiti i vuoti alle farmacie in questo perio…,[],[],0.0,0.0,21
tim program pengabdian kepada masyarakat pkm universitas mercu buana yogyakarta umby yang diketuai dr triana n httpstcoeibu5hpsos,[],[],0.0,0.0,17
rt neverending song violettes theme one step from eden 2020 pc composer hagane  plus httpstcokyut5vrz1l,[''],[],6.25,0.0,15
umby 🙃whelp stay safe hun,['safe'],[],20.0,0.0,4
full thing httpstcodpecibepmn,[],[],0.0,0.0,3
umby wtf,[],[],0.0,0.0,2
i hate that this is the beginning of an email httpstcob41i6et1dj,[],['hate'],0.0,9.090909090909092,10
preorder now protective umbrella httpstcosyromcuvln when you purchase this sunshineyellow umbrella httpstcozu3dogetkc,['protective'],[],8.333333333333332,0.0,11
umby you are a good doggo,['good'],[],16.666666666666664,0.0,5
umby is at the vet send good vibes his way please hes so sick rn,['good'],['sick'],6.666666666666667,6.666666666666667,13
umby probably the new champion delay that year but tbh idk,['champion'],['delay'],9.090909090909092,9.090909090909092,9
the heck happened here httpstcosjfrx9k7b9,[],['heck'],0.0,20.0,4
la solita presunzione di umby 🤦‍♀ ilparadisodellesignore,[],[],0.0,0.0,7
butagain extremely popular considering the whole series sold less than ice climbers on the httpstcob5x5tkuhar,['popular'],[],6.666666666666667,0.0,14
the investors meeting where nintendo will reveal their data,[],[],0.0,0.0,9
you hear multiple sources say that because physical data httpstcokt5jmvt0xu,[],[],0.0,0.0,10
ayy goals umby amp i be hatin happy people all day 😎,['happy'],[],8.333333333333332,0.0,11
l’unica cosa che mi tiene ancora qui il rapporto umbyfede spero che si scopra presto la verità🤞🏻 ilparadisodellesignore,[],[],0.0,0.0,18
comunque a me piace molto il rapporto che si sta creando tra fede e umby😍 ilparadisodellesignore,[],[],0.0,0.0,16
rt sembra quasi che tu gli voglia bene oh s adelaide ilparadisodellesignore umby così httpstcooqhbxhjfzw,[],[],0.0,0.0,15
sembra quasi che tu gli voglia bene oh s adelaide ilparadisodellesignore umby così httpstcooqhbxhjfzw,[],[],0.0,0.0,14
the day pausing prevents score upload is the day i quit want me gone faster make umby to the funny,['faster'],['funny'],5.0,5.0,18
rt addirittura il faccia a faccia fra umby e luciano whaaaaa ilparadisodellesignore httpstcolhjwrpnbtc,[],[],0.0,0.0,13
addirittura il faccia a faccia fra umby e luciano whaaaaa ilparadisodellesignore httpstcolhjwrpnbtc,[],[],0.0,0.0,12
rt oggi se ne va uno dei nostri ciao gigi ➡ httpstcovggfepuivo httpstcosi5shaeqiy,[],[],0.0,0.0,13
rt oggi diciamo addio a gigi proietti voce indimenticabile del genio in aladdin 💙 il nostro pensiero va a tutti i suoi car…,[],[],0.0,0.0,23
preorder now protective umbrella httpstcosyromcuvln when you purchase this sunshineyellow umbrella httpstcoeavkjvqkku,['protective'],[],8.333333333333332,0.0,11
fess ut umby,[],[],0.0,0.0,3
rt when it gets bad dont be like me dont wait until its too late and your meds have stopped working go to your doc as soo…,['like'],['bad'],3.7037037037037033,3.7037037037037033,25
g r i n s vibe check  and guess who gets completely yoten over umbys head and onto his back its you,[''],[],4.3478260869565215,0.0,22
umby carry,[],[],0.0,0.0,2
i broke my sobriety recently momma and yeah i wanna get back but rn aint the time,['yeah'],['broke'],5.88235294117647,5.88235294117647,15
rt sooper knd operative naomi osaka operative serves aces klobbering adults absolutley rockin numbuh five for hall…,[],[],0.0,0.0,17
rt httpstconcu1h2moln,[],[],0.0,0.0,2
uau umby goditele segui il mio consiglio httpstcopgrbockdif,[],[],0.0,0.0,8
me watching the simpsons treehouse of horror as a kid me watching the simpsons treehouse of horror for the fir httpstcohnzev9z0pd,[],[],0.0,0.0,21
that strap back one is 🔥,[],[],0.0,0.0,6
umby doing umby things httpstcojcoivh1emj,[],[],0.0,0.0,5
maxing a single skill costs way too much back to qp hell httpstcojqz9barxux,['skill'],['hell'],7.6923076923076925,7.6923076923076925,11
rt httpstcowbktmrggwl,[],[],0.0,0.0,2
nak umby yak,[],[],0.0,0.0,3
lu tau gak umby pumby terbuat dari umbi umbian,[],[],0.0,0.0,9
rt per una frase del genere nel nostro paese dobbiamo aspettare qualche centinaio di anni,[],[],0.0,0.0,15
rt paradroide intanto i furbissimi votanti pensionati che appena un mese fa hanno rieletto toti httpstcogucilem6ps,[],[],0.0,0.0,16
uii umby worth si,['worth'],[],25.0,0.0,3
umby dan usd sama2 terakreditas a bukan,[],[],0.0,0.0,7
kalau dari segi biaya umby standar sihh tapi btw psi usd bagus tapi biayanya mayann 😬,['bagus'],[],6.25,0.0,15
kl dr segi biaya ya kyknya umbyuad,[],[],0.0,0.0,7
mending psikologi usd jogja psikologi umby k3 psikologi uad atau psikologi uii cm,[],[],0.0,0.0,13
semester 7  isi story lagi revisian ❌ isi story testi produk ✅ yap begitulah anak thp17 umby 🙂,[''],[],5.263157894736842,0.0,18
preorder now protective umbrella httpstcosyromdcwdl when you purchase this sunshineyellow umbrella httpstcoknx3jfq1s5,['protective'],[],8.333333333333332,0.0,11
rt naomi osaka operative spinnin and kartwheelin away in fullon numbuh five action …,[],[],0.0,0.0,14
rt kooloolimpah bitches httpstco4ondlilerw,[],[],0.0,0.0,4
umby gaksih,[],[],0.0,0.0,2
boleh minta sarannya dong dari segi biaya nya mending psikologi usd jogja psikologi umby k3 psikologi uad atau psikologi uii cm,[],[],0.0,0.0,21
congrats to as the 2020 league of legends world champions congrats to gaming as well for hav httpstcoeqwtj12e9j,['well'],[],5.555555555555555,0.0,17
damn only had one match wrong ggs httpstcouoqwtt5zvv,[],"['damn', 'wrong']",0.0,25.0,6
honorable mentions httpstcoudf2xg45bw,['honorable'],[],33.33333333333333,0.0,2
umby edelgards so any official version of edelgard from any edelgard art from 3h stuff from heroes art f httpstcoipr3naj9w7,[],[],0.0,0.0,20
gguy why not,[],[],0.0,0.0,3
itu umby mksd gw,[],[],0.0,0.0,4
anak 1 thp umby anak 2 psikologi umby,[],[],0.0,0.0,8
umbyというアウトドアショップもできてます👍是非！ 好日山荘もいいですよね～ httpstcop37knmypqy,[],[],0.0,0.0,3
preorder now protective umbrella httpstcosyromcuvln when you purchase this sunshineyellow umbrella httpstcohx9ees7hu1,['protective'],[],8.333333333333332,0.0,11
disini ada yg anak umby ngga menurut kalian mending kampus 1 atau kampus 2 yaa untuk psikologi dari segi tempatnya dll juga cm,[],[],0.0,0.0,23
rt just finished watching 4 hours of clips qq currently at 25000 clips deleted and counting ,[''],[],5.88235294117647,0.0,16
grazie umby ti ho visto che dicevi di smetterla di farmi gli auguri,[],[],0.0,0.0,13
rt stato un grande piacere ripensare ai miei ricordi legati a maradona buon compleanno die60 httpstcoohhhtz1m9s,[],[],0.0,0.0,16
rt the spiderverse suit comes with spiderverse animation style in the new miles game httpstcotp26aeol92,[],[],0.0,0.0,15
rt very well spotted by thats indeed a cameo of kat from gravity rush in astros playroom on ps5 http…,['well'],[],5.0,0.0,19
rt this voice mod is od😂💀 mvciiro mvci httpstcolnpycxbzyq,[],[],0.0,0.0,9
i feel this,[],[],0.0,0.0,3
“there are good ships there are wood ships there are ships that sail the sea but the best ships are friendship httpstcokgs4h9jymu,"['good', 'best']",[],9.090909090909092,0.0,20
rt forgione maradona mi vanto e sono orgoglioso di aver fatto parte del napoli e al napoli ha scritto la storia dedicato ai…,['aver'],[],4.3478260869565215,0.0,22
pumby lmaoooo,[],[],0.0,0.0,2
oh girl,[],[],0.0,0.0,2
rt as another season of league comes to a close remember that your solo q rank does not define who you are as a person or a playe…,[],[],0.0,0.0,28
ma che belli umby e adelaide 🥰😍ilparadisodellesignore,[],[],0.0,0.0,7
soffro ancora di pi nel vedere queste scene perch probabilmente federico ci rimarr ancora pi male httpstcoud3hxiifci,[],[],0.0,0.0,17
orfano dei suoi due figli m umby si ricordato di averne un terzo e lo vuole sistemare 🤔😐🤡 httpstcogesit18wyh,[],[],0.0,0.0,19
moukala yeah i followed after i heard that sick bass cover for giornos theme,['yeah'],['sick'],7.142857142857142,7.142857142857142,12
beatrice e vittorio ma non che poco poco umby con quel discorsetto di fine episodio di ieri al genero ci ha vi httpstcoobh91sshnt,['fine'],[],4.3478260869565215,0.0,22
fede ora beve come umby ilparadisodellesignore,[],[],0.0,0.0,6
rt tu mi ricordi me alla mia età  uno dei migliori complimenti che abbia ricevuto adoro gi il loro rapporto 😭😭😭😭😭 feder…,[''],[],4.3478260869565215,0.0,22
rt tu mi ricordi me alla mia età  uno dei migliori complimenti che abbia ricevuto adoro gi il loro rapporto 😭😭😭😭😭 feder…,[''],[],4.3478260869565215,0.0,22
tu mi ricordi me alla mia età  uno dei migliori complimenti che abbia ricevuto adoro gi il loro rapporto 😭😭😭😭 httpstcoxyzvu9gdl4,[''],[],4.545454545454546,0.0,21
cercano lo smoking nellarmadio del fratello riccardo aaaaaaahhhh umby♥ ilparadisodellesignore httpstcociywzw3j65,[],[],0.0,0.0,11
umby che fa il pap con federico pdsdaily ilparadisodellesignore,[],[],0.0,0.0,9
il sorriso che ha fatto umby sentendo che il nome federico ilparadisodellesignore httpstcooh1ujxpfz7,[],[],0.0,0.0,13
umby moukala yo this dude does a bunch of videos breaking down ff14s music i watch him from time to time super sick,['super'],"['breaking', 'sick']",4.3478260869565215,8.695652173913043,20
umby moukala holy shit,['holy'],['shit'],25.0,25.0,2
moukala,[],[],0.0,0.0,1
rt moukala what if final fantasy 7 music sounded like sonic the hedgehog httpstcopvfzcrsrqu,['like'],[],7.142857142857142,0.0,13
umby 🤦‍♂ ur like iron and i’m literally number 1 in the world so,['like'],[],7.142857142857142,0.0,13
sbof umby non che arrivano le guardie a casa che ti obbligano a succhiare un pisello eh,[],[],0.0,0.0,17
spazzy as long as im having a great time i dont care if the resolution is low i have no problem playing a httpstcombscbyeh9a,['great'],['problem'],4.166666666666666,4.166666666666666,22
rt bit as umby pumby umby pumby is cute sleepy amp yawns a lot she is always cuddling her beloved teddy bear amp sucking he…,"['cute', 'beloved']",[],8.0,0.0,23
members youre my honey bunch sugar peach plumby umby umby peach youre my sweetie peach youre my cuppycake httpstcojyoxddrokv,"['peach', 'peach', 'peach']",[],15.789473684210526,0.0,16
check out umby be sunshine by anuja jaitly on httpstcotymkzhg2fa crowdfunding kickstarter,[],[],0.0,0.0,12
lah anak umby juga 🤣 kampus 1,[],[],0.0,0.0,7
rt bit as umby pumby umby pumby is cute sleepy amp yawns a lot she is always cuddling her beloved teddy bear amp sucking he…,"['cute', 'beloved']",[],8.0,0.0,23
deket umby wkwk,[],[],0.0,0.0,3
rt bit as umby pumby umby pumby is cute sleepy amp yawns a lot she is always cuddling her beloved teddy bear amp sucking he…,"['cute', 'beloved']",[],8.0,0.0,23
rt bit as umby pumby umby pumby is cute sleepy amp yawns a lot she is always cuddling her beloved teddy bear amp sucking he…,"['cute', 'beloved']",[],8.0,0.0,23
rt bit as umby pumby umby pumby is cute sleepy amp yawns a lot she is always cuddling her beloved teddy bear amp sucking he…,"['cute', 'beloved']",[],8.0,0.0,23
bentar2 nak umby kamu kampus 1 atau 2 wkwk,[],[],0.0,0.0,9
rt daz3 when you finally catch someone with kanjis j214x httpstcomzvt9th7px,[],[],0.0,0.0,11
aaaaa i forgot about this song httpstcoaxf8tnctpp,[],[],0.0,0.0,7
rt bit as umby pumby umby pumby is cute sleepy amp yawns a lot she is always cuddling her beloved teddy bear amp sucking he…,"['cute', 'beloved']",[],8.0,0.0,23
bit as umby pumby umby pumby is cute sleepy amp yawns a lot she is always cuddling her beloved teddy bear amp suck httpstconyt8tmnnnm,"['cute', 'beloved']",['suck'],8.333333333333332,4.166666666666666,21
because it runs on a super computer that streams to you the video while aoc is running on the switch,['super'],[],5.0,0.0,19
rt p il rapporto tra umby e riccardo vs umberto e federico avr imparato dai suoi orrori ilparadisodellesignore,[],[],0.0,0.0,18
il rapporto tra umby e riccardo vs umberto e federico avr imparato dai suoi orrori ilparadisodellesignore,[],[],0.0,0.0,16
wow if i looked at this right amd unveiled its new graphics cards yesterday and hours laterthis morning i get ad httpstcoflm4d1e4g2,"['wow', 'right']",[],9.090909090909092,0.0,20
rt con due ruote oltre il burrone baster una piccola soffiata di vento e precipiteranno giusto così litalia sempre sta…,[],[],0.0,0.0,20
usm mana nder btw umby murah jg ko nder,['murah'],[],11.11111111111111,0.0,8
cm gais saran pts dari segi biayanya mending psikologi umby atau psikologi usm ya,[],[],0.0,0.0,14
umby,[],[],0.0,0.0,1
aku di umby skrg uang pangkal bisa dicicil 4x trus biaya semester per sks bisa dicicil per bulan ,[''],[],5.263157894736842,0.0,18
sqw gais saran pts dari segi biayanya mending psikologi umby atau psikologi usm ya,[],[],0.0,0.0,14
umby,[],[],0.0,0.0,1
check out umby be sunshine by anuja jaitly on httpstcotymkzhg2fa crowdfunding kickstarter,[],[],0.0,0.0,12
umby its also not remaking an existing game so im not worried un the same way ff7 remake part 1 is possib httpstconbj6dzi8ml,[],['worried'],0.0,4.3478260869565215,22
,[''],[],100.0,0.0,0
too many swords no roy and ike pick one,[],[],0.0,0.0,9
spazzy the story is all in the hands of the zelda team and they have been using time travel since oot so i httpstcoykqrqkzqfg,[],[],0.0,0.0,24
preorder now protective umbrella httpstcosyromcuvln when you purchase this sunshineyellow umbrella httpstcoqpozjd7hs5,['protective'],[],8.333333333333332,0.0,11
its not that stupid people who go to news sites for the direct will see the just published review and might give it a read,[],['stupid'],0.0,4.0,24
rt cristiano ronaldo ha detto che tamponi sono una porcheria se pensi che la porcheria sia invece quello che ha detto e che s…,[],[],0.0,0.0,24
we still havent got a partner showcase in october so it could very well be part of that alongside the httpstco7tqweyrane,['well'],[],4.761904761904762,0.0,20
well we still have not seen a partner showcase in october so who knows,['well'],[],7.142857142857142,0.0,13
sebagai anak umby saya like dengan segenap hati saya untuk cangkem anda🙈,"['like', 'hati']",[],16.666666666666664,0.0,10
gm umby heres to a good day,['good'],[],14.285714285714285,0.0,6
ellivy httpstco7cduv1wedl,[],[],0.0,0.0,2
rt check out umby be sunshine by anuja jaitly on httpstcotymkzhg2fa crowdfunding kickstarter,[],[],0.0,0.0,13
check out umby be sunshine by anuja jaitly on httpstcotymkzhg2fa crowdfunding kickstarter,[],[],0.0,0.0,12
i havent done my due diligence yet but be careful using the patches for right now apparently there was an httpstcoi8aoyccxja,"['diligence', 'right']",[],9.523809523809524,0.0,19
daddy umby should fill something else lt3,[],[],0.0,0.0,7
such a pretty and cute umbylt3,"['pretty', 'cute']",[],33.33333333333333,0.0,4
pos 2 umby gada lawan si kgn bgt pol 12 httpstcomjp6ogyion,[],['lawan'],0.0,9.090909090909092,10
spazzy yeah no way it can be feasibly on my gaming shelf not even horizontally ill just wait for the slim httpstco37ugmcpzu7,"['yeah', 'feasibly']",[],9.090909090909092,0.0,20
ur my ccutie pie sugar plum pumby umby umpkin ur my sweetie pie httpstco1qkyee4zvv,[],[],0.0,0.0,14
umby itu kampus mana 🏃🏃🏃🏃,[],[],0.0,0.0,5
жительниц умб кандалакш осталис бе дене изз навязанны страхо httpstcoxcqoily2km,[],[],0.0,0.0,10
6 right now any holiday is a dream holiday fdghjgj but i want to go back to oregon with umby so bad sobsob i woul httpstcofbdaaxrt95,['right'],['bad'],3.8461538461538463,3.8461538461538463,24
4 snuggling with umby whenever my dog does something adorable dampd comfort food being around my gays in most an httpstcozpojxmne4j,"['adorable', 'comfort']",[],9.523809523809524,0.0,19
sender anak umby ya,[],[],0.0,0.0,4
rt “io sogno una societ in cui il ruolo della donna maggiore viviamo in una societ in cui i femminicidi sono in crescita…,[],[],0.0,0.0,23
rt check out umby be sunshine by anuja jaitly on httpstcotymkzhg2fa crowdfunding kickstarter,[],[],0.0,0.0,13
check out umby be sunshine by anuja jaitly on httpstcotymkzhg2fa crowdfunding kickstarter,[],[],0.0,0.0,12
not my fault she showed her ankles in the relationship,[],['fault'],0.0,10.0,9
pumby stoppppp,[],[],0.0,0.0,2
sounds like my ex,['like'],[],25.0,0.0,3
,[''],[],100.0,0.0,0
